"id","name","identifier","address","maps","date_joined","date_created","date_updated"
"1","050NicolasRomero","50","Fernando Montes de Oca No. 2 col Nicolas Romero, Estado de México cp 54405",NULL,"2024-07-30","2024-07-30 18:45:38.078302+00","2024-07-30 18:38:59.763227+00"
"2","072Tultepec","72","Av. Venustiano Carranza S/N col Barrio de San Martin, Estado de México cp 54960",NULL,"2024-07-30","2024-07-30 18:45:38.263514+00","2024-07-30 18:41:03.399544+00"
"3","144Tepotzotlan","144","Av. Lopez Mateos N° 17 col Barrio San Martin, Estado de México cp 54600",NULL,"2024-07-30","2024-07-30 18:45:38.450561+00","2024-07-30 18:41:03.776285+00"
"4","152Teoloyucan","152","Reforma N° 25 Entre Pino Y Matamoros col Barrio de Tlatilco, Estado de México cp 54770",NULL,"2024-07-30","2024-07-30 18:45:38.638642+00","2024-07-30 18:41:04.159779+00"
"5","155JardinesDeLaHda","155","Cuauhtemoc N° 19, entre Jardines de la Hacienda 2da Cerrada de Bugambilia col San Juan Atlamica, Estado de México cp 54729",NULL,"2024-07-30","2024-07-30 18:45:38.825514+00","2024-07-30 18:41:04.534842+00"
"6","161Hueuetoca","161","Sor Juana Ines de la Cruz s/n col Centro de Huehuetoca, Estado de México cp 54680",NULL,"2024-07-30","2024-07-30 18:45:39.012451+00","2024-07-30 18:41:04.910887+00"
"7","176NicolasRomero2","176","Javier Mina No. 1 col Nicolás Romero, Estado de México cp 54409",NULL,"2024-07-30","2024-07-30 18:45:39.200894+00","2024-07-30 18:41:05.286157+00"
"8","194NicolasRomero3","194","Mariano Escobedo No. 64 col Zaragoza, Estado de México cp 54457",NULL,"2024-07-30","2024-07-30 18:45:39.388215+00","2024-07-30 18:41:05.660904+00"
"9","214Tepotzotlan2","214","Josefa Ortiz de Dominguez s/n (entre Leona Vicario y Profra. Maria Dolores) col Ricardo Flores Magón, Estado de México cp 54607",NULL,"2024-07-30","2024-07-30 18:45:39.577209+00","2024-07-30 18:41:06.037289+00"
"10","228Tepotzotlan3","228","Av. Adolfo Lopez Mateos s/n col Ricardo Flores Magón, Estado de México cp 54607",NULL,"2024-07-30","2024-07-30 18:45:39.764515+00","2024-07-30 18:41:06.41341+00"
"11","231ElTrafico","231","Emiliano Zapata s/n entre Jacarandas y Pinos col El Tráfico, Estado de México cp 54435",NULL,"2024-07-30","2024-07-30 18:45:39.952191+00","2024-07-30 18:41:06.788421+00"
"12","236NicolasRomero4","236","Av. Nicolas Romero s/n  esq. Fernando Montes de Oca col Centro, Estado de México cp 54400",NULL,"2024-07-30","2024-07-30 18:45:40.145598+00","2024-07-30 18:41:07.163055+00"
"13","247Teoloyucan2","247","Av. Miguel Hidalgo s/n col Teoloyucan Centro, Estado de México cp 54770",NULL,"2024-07-30","2024-07-30 18:45:40.327253+00","2024-07-30 18:41:07.539315+00"
"14","321Aculco","321","Av. Mariano Abasolo s/n entre Macario Pérez y Cerrada de Abasolo col Centro, Estado de México cp 50360",NULL,"2024-07-30","2024-07-30 18:45:40.514764+00","2024-07-30 18:41:07.91435+00"
"15","334NicolasRomero6","334","20 de Noviembre No. 35 col Santa Anita, Estado de México cp 56378",NULL,"2024-07-30","2024-07-30 18:45:40.702525+00","2024-07-30 18:41:08.288987+00"
"16","344HGO Mixquiahuala","344","Plazuela Hidalgo S/N col Centro, Hidalgo cp 56388",NULL,"2024-07-30","2024-07-30 18:45:40.892524+00","2024-07-30 18:41:08.665249+00"
"17","372Cuautitlan","372","Av. Ahuehuetes Esquina Eucaliptos s/n col Los Morales, Estado de México cp 54800",NULL,"2024-07-30","2024-07-30 18:45:41.078887+00","2024-07-30 18:41:09.040193+00"
"18","378ElTrafico2","378","Emiliano Zapata s/n col El Trafico, Estado de México cp 54435",NULL,"2024-07-30","2024-07-30 18:45:41.268059+00","2024-07-30 18:41:09.415697+00"
"19","401CIzcalli","401","Calle Morelos s/n col San Jose Huilango, Estado de México cp 54710",NULL,"2024-07-30","2024-07-30 18:45:41.455819+00","2024-07-30 18:41:09.790153+00"
"20","409Atlamica","409","Av. Adolfo López Mateos No. 38 col San Juan Atlamica, Estado de México cp 54729",NULL,"2024-07-30","2024-07-30 18:45:41.643338+00","2024-07-30 18:41:10.16503+00"
"21","470HGO Ixmiquilpan","470","Avenida Juárez 27 col Centro, Hidalgo cp 42300",NULL,"2024-07-30","2024-07-30 18:45:41.832469+00","2024-07-30 18:41:10.540504+00"
"22","482HGOTecozautla","482","Av. Fray Juan de Sanabria 21-b col Centro, Hidalgo cp 42440",NULL,"2024-07-30","2024-07-30 18:45:42.020406+00","2024-07-30 18:41:10.915328+00"
"23","486VilladelCarbon","486","Avenida Juarez No. 12 col Centro Villa del Carbon, Estado de México cp 54314",NULL,"2024-07-30","2024-07-30 18:45:42.207126+00","2024-07-30 18:41:11.290506+00"
"24","501HGO Huichapan","501","Antonio Magos 1 col Centro, Hidalgo cp 42400",NULL,"2024-07-30","2024-07-30 18:45:42.394653+00","2024-07-30 18:41:11.667966+00"
"25","503HGOTepejidelRio","503","Nardo No. 6 col El Eden, Hidalgo cp 42854",NULL,"2024-07-30","2024-07-30 18:45:42.582694+00","2024-07-30 18:41:12.042394+00"
"26","505HGO Tezontepec de Aldama","505","Insurgentes 5 col Centro, Hidalgo cp 42760",NULL,"2024-07-30","2024-07-30 18:45:42.769759+00","2024-07-30 18:41:12.416572+00"
"27","520MelchorOcampo","520","Plaza Juarez No. 72 col Centro, Estado de México cp 54880",NULL,"2024-07-30","2024-07-30 18:45:42.958063+00","2024-07-30 18:41:12.794286+00"
"28","528SantaTeresaVI","528","Madrid S/N col Santa Teresa VI, Estado de México cp 54680",NULL,"2024-07-30","2024-07-30 18:45:43.146314+00","2024-07-30 18:41:13.169368+00"
"29","558HaciendaXalpa","558","Supermanzana 6 Mz 26 Lt 12 y 13 SN col Del Desarrollo Social Progresivo denominado Ex-Hacienda Xalpa, Estado de México cp 54683",NULL,"2024-07-30","2024-07-30 18:45:43.333955+00","2024-07-30 18:41:13.543858+00"
"30","559Coyotepec","559","Avenida Constitucion ESQ Juan Escutia col Centro, Estado de México cp 54660",NULL,"2024-07-30","2024-07-30 18:45:43.521536+00","2024-07-30 18:41:13.919005+00"
"31","578Acambay","578","Allende No. 10 col Centro, Estado de México cp 50300",NULL,"2024-07-30","2024-07-30 18:45:43.708983+00","2024-07-30 18:41:14.295428+00"
"32","581HGO Zimapan","581","5 de Mayo S/N col Centro, Hidalgo cp 42330",NULL,"2024-07-30","2024-07-30 18:45:43.895798+00","2024-07-30 18:41:14.670551+00"
"33","593HGO Tlahuelilpan","593","San Francisco Número 31 col Centro, Hidalgo cp 42780",NULL,"2024-07-30","2024-07-30 18:45:44.084635+00","2024-07-30 18:41:15.04523+00"
