"id","name","identifier","type","address","maps","date_joined","date_created","date_updated","razon_social"
"1","JUAREZ 2","T471","FORANEA","BENITO JUAREZ ,83 , ,SAN PEDRO AHUACATLAN ,76810 ,SAN JUAN DEL RIO ,QUERÉTARO","https://goo.gl/maps/Y3QH8UoQiP7X1W9a7","2023-09-13","2024-10-03 23:26:24.083428+00","2023-09-13 08:31:19.668855+00","ASTURIANO"
"2","MERCURIO ESCOBEDO","T468","FORANEA","MERCURIO ,22 , ,ESTRELLA ,76700 ,PEDRO ESCOBEDO ,QUERÉTARO","https://goo.gl/maps/pzoCuLqcxVLJprrj7","2023-09-13","2024-10-03 23:26:06.969174+00","2023-09-13 08:31:19.750931+00","ASTURIANO"
"3","LA CORREGIDORA","T467","FORANEA","JOSEFA ORTIZ DE DOMINGUEZ ,6 , ,PEDRO ESCOBEDO ,76700 ,PEDRO ESCOBEDO ,QUERÉTARO","https://goo.gl/maps/M6xxXJLrvCgTUUia8","2023-09-13","2024-10-03 23:26:07.232286+00","2023-09-13 08:31:19.821533+00","ASTURIANO"
"4","CRUZ GRANDE","T465","FORANEA","Lazaro Cardenas, Cruz Grande, Gro.","https://goo.gl/maps/y7bxbGPddCjkm7DXA","2023-09-13","2024-10-03 23:26:05.987045+00","2023-09-13 08:31:19.895746+00","ASTURIANO"
"5","LA DIANA","T464","FORANEA","AV. COSTERA MIGUEL ALEMAN , , ,FRACC. MAGALLANES , ,ACAPULCO DE JUAREZ ,GUERRERO","https://goo.gl/maps/eXUgDu7mTRPiQah18","2023-09-13","2024-10-03 23:26:05.445049+00","2023-09-13 08:31:19.971744+00","ASTURIANO"
"6","TEC METEPEC","T463","FORANEA","AV. TECNOLOGICO ,MZ 003 , , ,52140 ,METEPEC ,ESTADO DE MÉXICO","https://goo.gl/maps/1gxqm8GopWDCMW7n9","2023-09-13","2024-10-03 23:26:05.856862+00","2023-09-13 08:31:20.046085+00","ASTURIANO"
"7","EL SAUZ","T461","FORANEA","BOULEVARD BENITO JUÁREZ ,27 , ,EL SAUZ ALTO , ,PEDRO ESCOBEDO ,QUERÉTARO","https://goo.gl/maps/FVntz2Zad6wqUXPs5","2023-09-13","2024-10-03 23:26:07.100654+00","2023-09-13 08:31:20.114497+00","ASTURIANO"
"8","SAN JOAQUIN","T454","FORANEA","CENTRO DE SAN JOAQUIN ,21 , ,CENTRO ,76550 ,SAN JOAQUIN ,QUERÉTARO","https://goo.gl/maps/1NWvYKQ1kLLZ9KkW8","2023-09-13","2024-10-03 23:26:07.035809+00","2023-09-13 08:31:20.181507+00","ASTURIANO"
"9","CORREDOR","T452","FORANEA","HEROICO COLEGIO MILITAR ,311 , ,LA BOLA ,76655 ,EZEQUIEL MONTES ,QUERÉTARO","https://goo.gl/maps/mY9AMmQRVVrqRgMs7","2023-09-13","2024-10-03 23:26:06.183717+00","2023-09-13 08:31:20.248635+00","ASTURIANO"
"10","TELLEZ CRUCES","T448","FORANEA","BLVD HILARIO MEDINA ,6002 , ,PREDIO UNIDAD DEPORTIVA II ,37239 ,LEÓN ,GUANAJUATO","https://goo.gl/maps/2oA92kk6HkVxmwLHA","2023-09-13","2024-10-03 23:26:24.149024+00","2023-09-13 08:31:20.317462+00","ASTURIANO"
"11","TECOZAUTLA","T443","FORANEA","FRAY JUAN SANABRIA ,38 , ,CENTRO , ,TECOZAUTLA ,HIDALGO","https://goo.gl/maps/gPYj9bJ6VYfAmazp8","2023-09-13","2024-10-03 23:26:06.119132+00","2023-09-13 08:31:20.384834+00","ASTURIANO"
"12","ZUMPANGO (GRO)","T442","FORANEA","HEROICO COLEGIO MILITAR ,28 , ,ZUMPANGO DEL RIO CENTRO ,40180 ,EDUARDO NERI ,GUERRERO","https://goo.gl/maps/7c2VkdeGvRM9m4zg7","2023-09-13","2024-10-03 23:26:06.838295+00","2023-09-13 08:31:20.453167+00","ASTURIANO"
