"id","name","bussines_name","rfc","comments_on_delivery","date_joined","date_created","date_updated","direction_id"
"2","Tiendita","Tienda SA de CV","BECE9108014U5",NULL,"2023-07-16","2023-07-19 04:42:03.559697+00","2023-07-16 07:39:08.962942+00","6"
"3","CHEM TREND QUERÉTARO","CHEM TREND COMERCIAL S.A DE C.V","CTC861104I92","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:34.504339+00","2023-07-19 08:05:40.540286+00","83"
"4","WAREHOUSE","AUTOMATION WAREHOUSE","AWA131127LZ4","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:34.664112+00","2023-07-19 08:05:40.783455+00","84"
"5","RPS","RED PACKERS SOLUTIONS S.A DE C.V","RPS110525M55","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:34.827829+00","2023-07-19 08:05:41.02094+00","85"
"6","JAFRA","DISTRIBUIDORA COMERCIAL JAFRA  S.A DE C.V","DCJ030226FJA","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:34.984809+00","2023-07-19 08:05:41.254747+00","86"
"7","FOREVER","FOREVER BEAUTY SA DE CV","FBE180611MU9","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:35.143402+00","2023-07-19 08:05:41.487589+00","87"
"8","PROMAPLAST QUERETARO","PROMAPLAST RESINAS S.A DE C.V","PRE020314RC4","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:35.300351+00","2023-07-19 08:05:41.722895+00","88"
"9","CEDIS BIMBO","GRUPO BIMBO S.A.B DE C.V.","BIM011108DJ5","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:35.455728+00","2023-07-19 08:05:41.958217+00","89"
"10","TULA INDUSTRIAS DE HULE","INDUSTRIAS DE HULE GALGO SA DE CV","CTC861104I92","EPP COMPLETO( FAJA, GUANTES, ETC) DOC DE UNIDAD Y OPERADOR VIGENTES (TICKET DE PESO) , MATERIAL DE SUJECIÓN EN BUEN ESTADO, HR. RECEPCIÓN 8 AM a 3 PM","2023-07-19","2023-07-19 08:20:35.610387+00","2023-07-19 08:05:42.189819+00","90"
"11","COMPAÑIA HULERA TORNEL COATEPEC","COMPAÑIA HULERA TORNEL, SA DE CV","HTO830620G40","EPP COMPLETO, ALARMA DE REVERSA, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 4 PM","2023-07-19","2023-07-19 08:20:35.767093+00","2023-07-19 08:05:42.424326+00","91"
"12","BRIDGESTONE MTY","BRIDGESTONE NEUMATICOS DE MONTERREY SA DE CV","BNM050223SV9","EPP COMPLETO, DOC UNIDAD Y OPERADOR VIGENTES, MATERIAL EN BUEN ESTADO, FRENO DE MANO Y ALARMA DE REVERSA, HR RECEPCIÓN 24 HRS, SE REQUIERE CITA","2023-07-19","2023-07-19 08:20:35.923729+00","2023-07-19 08:05:42.6527+00","92"
"13","FREUDENBERG EL MARQUES","FREUDENBERG-NOK SEALING TECHOLOGIES DE MEXICO, SA DE CV","SME751021B90","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN DE 8 AM A 4 PM / VIERNES ANTES DE LAS 2 PM","2023-07-19","2023-07-19 08:20:36.083451+00","2023-07-19 08:05:42.882224+00","93"
"14","EL GRANDE INDUSTRIAL","EL GRANDE INDUSTRIAL S.A. DE C.V","HAM100601356","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:36.239769+00","2023-07-19 08:05:43.114784+00","94"
"15","IACNA MEXICO TOLUCA","IACNA MEXICO V S DE RL DE CV","XAXX010101000","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM, SE REQUIERE CITA","2023-07-19","2023-07-19 08:20:36.403669+00","2023-07-19 08:05:43.348736+00","95"
"16","MINO INDUSTRY LEON","MINO INDUSTRY MEXICO SA DE CV","MIM1601087R7","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:36.566223+00","2023-07-19 08:05:43.578745+00","96"
"17","NEDEC SAN JOSÉ ITURBIDE, GTO","NEDEC MEXICO SA DE CV","NME140127PD3","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:36.730571+00","2023-07-19 08:05:43.807526+00","97"
