"id","BienesTransp","Cantidad","ClaveUnidad","Descripcion","Moneda","PesoEnKg","MaterialPeligroso","Destino_id","Operation_id"
"8","11121600",3,"10:Grupos","MADERA","MXN","500",False,"2",NULL
"9","50192111",2,"10:Grupos","CARNE","MXN","2000",False,"2",NULL
"10","15121512",1,"H87: Pieza","MONO-COAT 2104W","MXN","19",False,"664",NULL
"11","13101723",1,"H87: Pieza","ULTRA PURGUE 3615 US","MXN","20",False,"664",NULL
"22","11121600",3,"10:Grupos","MADERA hola","MXN","500",True,"8",NULL
"23","50192111",2,"10:Grupos","CARNE","MXN","2000",True,"2",NULL
"24","15121512",2,"H87","CHEM-TREND SL 92060","MXN","416",False,"3","822"
"25","13101723",3,"H87","ULTRA PURGE 5000","MXN","60",False,"3","822"
"26","13101723",3,"H87","ULTRA PURGE 5000","MXN","60",False,"3","822"
"27","15121512",1,"H87","CHEM TREND SL-6193A","MXN","208",False,"3","822"
"28","13101723",3,"H87","ULTRA PURGE 1004","MXN","60",False,"43","823"
"29","13101723",9,"H87","ULTRA PURGE 1004","MXN","180",False,"43","823"
"30","13101723",1,"H87","ULTRA PURGE 3615 US","MXN","500",False,"43","823"
"35","15121805",42,"H87: Pieza","CHEM-TREND ASW-101","MXN","42",False,"138","824"
"36","15121512",1,"H87: Pieza","CHEM-TREND SL-3636","MXN","201",False,"138","824"
"37","15121512",2,"H87: Pieza","CHEM-TREND ML-3083","MXN","2326",False,"84","825"
"38","15121512",2,"H87: Pieza","CHEM-TREND ML-3083","MXN","2326",False,"84","825"
"39","15121512",2,"H87: Pieza","CHEM-TREND ML-3038","MXN","2326",False,"84","825"
"40","50202203",18,"H87: Pieza","VIÑA REAL  PIÑA COLADA  400ML","MXN","60",True,"673","826"
"41","50202203",2,"H87: Pieza","RON BACARDI BCO 980ML","MXN","60",True,"673","826"
"42","50202203",3,"H87: Pieza","RON BACARDI BCO 750 ML","MXN","60",True,"673","826"
"44","14111704",3,"H87: Pieza","CUBETAZO MODELO 13LTS A","MXN","60",False,"673","826"
"45","14111704",17,"H87: Pieza","CUBETAZO MODELO 13LTS A","MXN","60",False,"673","826"
"46","14111704",200,"H87: Pieza","BOLSA DE HIELO CUBETAZO 3KG","MXN","60",False,"673","826"
"47","14111704",1,"H87: Pieza","ADEREZO RANCH CLEMENTE JACQUES 237ML","MXN","60",False,"673","826"
"48","14111704",1,"H87: Pieza","CAPRICE CERAMIDAS 200 ML","MXN","60",False,"673","826"
"49","14111704",24,"H87: Pieza","VIVE 100  500ML","MXN","60",False,"673","826"
"50","14111704",12,"H87: Pieza"," SUEROX FRESA-FRUTOS ROJOS 630 ML","MXN","60",False,"673","826"
"51","14111704",2,"H87: Pieza","RAID MAX MATA CUCARACHAS 250ML","MXN","60",False,"673","826"
"52","14111704",24,"H87: Pieza","JUMEX BOTELLA DURAZNO 250ML","MXN","60",False,"673","826"
"53","14111704",12,"H87: Pieza","BIDA MANGO 500 ML","MXN","60",False,"673","826"
"54","14111704",12,"H87: Pieza","JUMEX SPORT UVA 600ML ","MXN","60",False,"673","826"
"55","14111704",12,"H87: Pieza","UFRESCO LB 12/473ML BEBIDA ARANDANO","MXN","60",False,"673","826"
"56","14111704",1,"H87: Pieza","ASPIRINA 500MG 10 TABLETAS","MXN","60",False,"673","826"
"57","50192300",40,"H87: Pieza","PELLIZCO TAMA ROCA C/U","MXN","60",False,"673","826"
"58","50192300",10,"H87: Pieza","TOTIS PAP´S SAL 90GR ","MXN","60",False,"673","826"
"59","50202201",24,"H87: Pieza","AGUA RIFADA   LIMON FRUTOS ROJOS  210 ML","MXN","60",True,"673","826"
"60","50202201",360,"H87: Pieza","CERVEZA VICTORIA MEGA 1.2 LT RETORNABLE","MXN","60",True,"673","826"
"61","50202201",24,"H87: Pieza","VICTORIA CEMPASUCHIL 473 ML LATA","MXN","60",True,"673","826"
"62","50202201",150,"H87: Pieza","10 CORONA EXTRA 473 ML + DESTAPADOR 3D","MXN","60",True,"673","826"
"63","50202201",360,"H87: Pieza","ENVASE GRANDE","MXN","60",True,"673","826"
"64","15121512",1,"H87","CHEM-TREND ML-2058","MXN","209",False,"119","827"
"65","15121512",1,"H87","CHEM-TREND ML-6068","MXN","220",False,"52","828"
"66","12352400",24,"X4G","LUSIN PROTECT G 31","MXN","24",True,"96","829"
"67","13101723",2,"H87","ULTRA PURGE 5000","MXN","40",False,"96","829"
"68","15121512",3,"H87","MONO-COAT 2060W","MXN","624",False,"96","829"
"69","15121512",2,"H87","CHEM-TREND ML-5401W","MXN","1968",False,"10","830"
"70","47131800",10,"X8A","ABARROTES","MXN","14000",False,"423","831"
"71","47131800",10,"X8A","ABARROTES","MXN","14000",False,"326","832"
"72","47131800",10,"X8A","ABARROTES","MXN","14000",False,"311","833"
"73","47131800",10,"X8A","ABARROTES","MXN","14000",False,"406","834"
"74","47131800",10,"X8A","ABARROTES","MXN","14000",False,"311","835"
"75","47131800",10,"X8A","ABARROTES","MXN","14000",False,"638","836"
"76","47131800",10,"X8A","ABARROTES","MXN","14000",False,"424","837"
"77","47131800",10,"X8A","ABARROTES","MXN","14000",False,"434","838"
"78","47131800",10,"X8A","ABARROTES","MXN","14000",False,"629","839"
"79","47131800",10,"X8A","ABARROTES","MXN","14000",False,"426","840"
"80","47131800",10,"X8A","ABARROTES","MXN","14000",False,"392","841"
"81","47131800",10,"X8A","ABARROTES","MXN","14000",False,"321","842"
"82","50181900",30,"X8A","GALLETAS","MXN","18000",False,"362","843"
"83","15121512",1,"H87","CHEM-TREND ML-1143","MXN","16",False,"27","844"
"84","13101723",2,"H87","ULTRA PURGE 1215T","MXN","40",False,"27","844"
"85","15121512",1,"H87","CHEM-TREND SL-6193A","MXN","208",False,"27","844"
"86","15121512",1,"H87","CHEM-TREND SL-6193A","MXN","208",False,"27","844"
"88","15121512",2,"H87","CHEM-TREND SL-6193A","MXN","416",False,"27","844"
"89","15121517",7,"H87","CHEM-TREND DC-456","MXN","131",False,"27","844"
"90","15121520",2,"H87","CHEM-TREND SU-121","MXN","35",False,"27","844"
"91","15121512",1,"H87","CHEM-TREND SL 2230","MXN","205",False,"43","845"
"92","13101723",3,"H87","ULTRA PURGE 1004","MXN","60",False,"43","845"
"93","13101723",9,"H87","ULTRA PURGE 1004","MXN","180",False,"43","845"
"94","12352400",2,"H87","CHEM-TREND PU-19037","MXN","28",True,"43","845"
"95","15121512",5,"H87","CHEM-TREND ML-7044","MXN","855",False,"52","846"
"96","15121512",11,"H87","CHEM-TREND ML-7044","MXN","1881",False,"119","847"
