"id","econ_number","model","brand","color","circulation_card_number","insurance_company","insurance_code","serial_number","license_plate","year","insurance","circulation_card","sua","unit_type","permiso_sct","conf_vehicular","performance","status","fumigation_certified","verificacion_fisico_mecanica","verificacion_de_emisiones","initial_milage","current_milage","photo_1","photo_2","photo_3","photo_4","photo_5","photo_6","fumigation_expiration","insurance_expiration","system","observations","current_state","date_joined","date_created","date_updated","supplier_id","is_rent"
"2","EQ-001-001B","4000","RAM","Sin color",NULL,"GNP SEGUROS","461012106","3N6AD35A3MK826199","SY6888D",2021,"","","","UNIDAD 3.5 TN",NULL,"C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2025-04-15 18:22:43.5563+00","2023-07-19 08:40:18.029941+00","156",True
"3","EQ-003-001E","RAM 4000","DODGE","Sin color",NULL,"HDI","721756650100","T9TS8ZOELNHIMLOEAIN","82AK3P",2018,"","","","UNIDAD 3.5 TN","","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:59.136306+00","2023-07-19 08:40:18.428445+00","5",False
"5","EQ-002-002B","2019","TOYOTA","Sin color",NULL,"QUALITAS","4120092215","mr0ex8cb5k1404357","78AK3W",2019,"","","","UNIDAD 1 TN","1329MAHA30112018230301001","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.999258+00","2023-07-19 08:40:19.212648+00",NULL,False
"6","EQ-002-001B","2011","NISSAN","Sin color",NULL,"SEGUROS ANA","3615150","3N6DD25T0BK001663","57AK9S",2011,"","","","UNIDAD 1 TN","1329MAHA30112018230301000","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.923273+00","2023-07-19 08:40:19.611978+00",NULL,False
"7","EQ-004-012G","1998","MERCEDES BENZ","Sin color",NULL,"HDI","830293122","3AMBBMHC5WS043768","97AR2B",1998,"","","","RABON","2242CANA251020011021001020","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.844279+00","2023-07-19 08:40:20.011435+00",NULL,False
"8","EQ-004-007E","2015","DODGE","Sin color",NULL,"HDI","830293122","3C7WRAKT8FG519236","291EW3",2015,"","","","UNIDAD 3.5 TN","2242CANA25102011021001008","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.772905+00","2023-07-19 08:40:20.398538+00",NULL,False
"9","EQ-004-005E","SILVERADO","CHEVROLET","Sin color",NULL,"HDI","830293122","3GBJC34R76M102217","96AR2B",2006,"","","","UNIDAD 3.5 TN","2242CANA25102011021001020","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.700451+00","2023-07-19 08:40:20.790292+00",NULL,False
"10","EQ-004-002B","NP 300","NISSAN","Sin color",NULL,"HDI","860293122","3N3AD35A5MK817293","SY4658A",2021,"","","","UNIDAD 1 TN","2242CANA2510210002100","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.626638+00","2023-07-19 08:40:21.184523+00",NULL,False
"11","ECO-08-001","TRACTO","KENWORTH","Sin color",NULL,"HDI","449783996","","SV6148A",2006,"","","","TRACTO","","","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:19.257003+00","2023-07-19 08:40:21.577043+00",NULL,False
"12","ECO-08-002","CAJA S.","INTERNATIONAL","Sin color",NULL,"GNP","449738996","","52UD7G",2001,"","","","TRACTO","","","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:19.409942+00","2023-07-19 08:40:21.966983+00",NULL,False
"13","EQ-004-009G","1999","FREIGHTLINER","Sin color",NULL,"HDI","821920025","36L6HFAB3XDB80055","36AJ1S",1999,"","","","RABON","2242CANA25102011021001014","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.557412+00","2023-07-19 08:40:22.368435+00",NULL,False
"14","EQ-004-030T","2006","VOLVO","Sin color",NULL,"HDI","831920025","4V4NC9TG76N411003","215EV5",2006,"","","","TRACTO","2242CANA25102011021001006","T2S1","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.488998+00","2023-07-19 08:40:22.767452+00",NULL,False
"15","EQ-004-040T","2001","GREAT DANE","Sin color",NULL,"HDI","831920025","1GRAA06211T004929","570X8B",2001,"","","","CAJA 53’","2242CANA25102011021001011","CTR007","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.412484+00","2023-07-19 08:40:23.155528+00",NULL,False
"16","ECO-04-010","2005","Internacional","Sin color",NULL,"HDI","831920025","","SV4039D",2005,"","","","TRACTO","","T2S3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:20.028163+00","2023-07-19 08:40:23.555015+00",NULL,False
"17","EQ-003-008T","2008","Kenworth","Sin color",NULL,"HDI","831920025","","27AG8D",2008,"","","","TRACTO","","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:58.345042+00","2023-07-19 08:40:23.944263+00","5",False
